,Symbol,product_name,Marketcap,sector,Industry,asset_class,close_price,risk_score,return_2019,return_2018,return_2017,return_2016,return_2015,return_2014,return_2013,return_2012,return_2011,return_2010
718,CCNE,CNB Financial Corporation,478841746.51,Finance,Major Banks,Small Cap,29.96,25.65,45.93,-10.49,0.79,53.39,1.26,1.1,20.47,8.26,11.8,-2.92
719,CNSP,"CNS Pharmaceuticals, Inc.",69413164.82,Health Care,Major Pharmaceuticals,Micro Cap,4.32,,,,,,,,,,,
720,CCB,Coastal Financial Corporation,206461908.15,Finance,Major Banks,Micro Cap,17.0,28.67,8.14,600.23,35.94,-20.0,-30.8,14.46,68.33,0.0,-6.25,-45.02
721,COKE,"Coca-Cola Consolidated, Inc.",2618071337.7,Consumer Non-Durables,Beverages (Production/Distribution),Mid Cap,276.43,36.5,60.74,-17.1,20.94,-1.37,108.87,21.86,11.8,15.35,7.11,4.86
722,COCP,"Cocrystal Pharma, Inc.",21617285.67,Health Care,Major Pharmaceuticals,Micro Cap,0.82,102.26,,,,,,,,,,
723,CODA,"Coda Octopus Group, Inc.",87777412.04,Capital Goods,Industrial Machinery/Components,Micro Cap,7.6,82.02,43.81,21.96,94.0,75.7,66.67,-74.47,194.12,699.0,-66.67,25.52
724,CDXS,"Codexis, Inc.",1059762881.55,Basic Industries,Major Chemicals,Small Cap,16.74,40.71,-4.25,100.0,81.52,8.75,67.86,80.0,-36.65,-58.3,-50.0,0.0
725,CODX,"Co-Diagnostics, Inc.",18898780.9878,Health Care,Medical/Dental Instruments,Micro Cap,3.43,140.78,,,,,,,,,,
726,CVLY,"Codorus Valley Bancorp, Inc",216299301.12,Finance,Savings Institutions,Micro Cap,22.22,24.2,17.2,-21.1,3.18,44.48,6.21,8.65,40.69,97.6,-8.62,87.2
727,JVA,"Coffee Holding Co., Inc.",22945717.88,Consumer Non-Durables,Food Distributors,Micro Cap,3.9,51.51,30.31,-17.14,-8.39,20.78,-24.95,0.79,-27.29,-8.51,114.32,-9.59
728,CCOI,"Cogent Communications Holdings, Inc.",3429513657.78,Consumer Services,Telecommunications Equipment,Mid Cap,73.05,24.59,51.98,4.25,14.33,24.07,2.5,-9.55,82.81,35.43,19.45,43.41
729,CGNX,Cognex Corporation,10021417320.16,Capital Goods,Industrial Machinery/Components,Large Cap,54.68,33.15,45.54,-36.53,92.91,89.58,-17.85,8.25,107.56,7.07,23.01,68.08
730,CTSH,Cognizant Technology Solutions Corporation,34370706646.94,Technology,EDP Services,Large Cap,61.77,22.99,-1.07,-9.42,27.57,-6.65,13.98,4.3,36.68,14.88,-12.25,61.68
731,CWBR,"CohBar, Inc.",92298699.57,Health Care,Major Pharmaceuticals,Micro Cap,2.24,87.35,,,,,,,,,,
732,COHR,"Coherent, Inc.",4195170960.3,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Mid Cap,153.56,42.48,57.36,-62.54,105.42,111.01,7.23,-18.38,46.93,-1.07,15.8,51.83
733,CHRS,"Coherus BioSciences, Inc.",1343678154.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,18.73,56.25,,,,,,,,,,
734,COHU,"Cohu, Inc.",1037849985.15,Capital Goods,Electrical Products,Small Cap,23.49,45.18,44.29,-25.96,59.95,17.55,3.63,15.79,-0.82,-2.07,-30.15,21.03
735,CLCT,"Collectors Universe, Inc.",229209280.69,Miscellaneous,Business Services,Micro Cap,24.33,40.18,109.82,-58.44,42.95,47.68,-20.31,29.38,87.05,-24.36,13.9,62.7
736,COLL,"Collegium Pharmaceutical, Inc.",784868872.57,Health Care,Major Pharmaceuticals,Small Cap,21.01,61.97,,,,,,,,,,
737,CIGI,Colliers International Group Inc. ,3220566457.58,Finance,Real Estate,Mid Cap,81.61,22.78,41.88,-8.67,64.51,-17.27,50.07,19.08,53.76,6.57,-12.23,57.85
738,CLGN,CollPlant Biotechnologies Ltd.,43877538.32,,,Micro Cap,10.271,67.46,,,,,,,,,,
739,CBAN,"Colony Bankcorp, Inc.",146851185.18,Finance,Major Banks,Micro Cap,15.35,27.51,15.12,1.22,11.41,38.51,20.94,29.18,69.44,60.71,-44.42,-12.58
740,COLB,"Columbia Banking System, Inc.",2879678780.64,Finance,Major Banks,Mid Cap,39.87,23.48,16.41,-14.04,-0.65,44.64,23.59,4.2,55.98,-2.15,-7.12,30.44
741,CLBK,"Columbia Financial, Inc.",1927096996.32,Finance,Savings Institutions,Small Cap,16.79,16.04,,,,,,,,,,
742,COLM,Columbia Sportswear Company,6454810053.23,Consumer Non-Durables,Apparel,Mid Cap,91.76,27.04,20.33,18.23,24.85,21.01,10.68,14.7,49.84,16.63,-21.67,61.27
743,CMCO,Columbus McKinnon Corporation,931111988.85,Capital Goods,Construction/Ag Equipment/Trucks,Small Cap,36.46,35.12,33.65,-24.23,48.64,44.48,-32.11,3.79,64.29,30.18,-37.55,48.65
744,CMCSA,Comcast Corporation,216089387065.0,Consumer Services,Television Services,Large Cap,44.0,18.35,34.04,-12.71,17.46,24.99,-1.08,13.07,41.56,60.71,10.48,33.13
745,CBSH,"Commerce Bancshares, Inc.",7618310755.96,Finance,Major Banks,Mid Cap,67.42,18.93,22.61,7.53,-1.84,38.37,4.8,3.73,37.37,2.94,-1.77,5.14
746,CBSHP,"Commerce Bancshares, Inc.",2424805089.84,Finance,Major Banks,Mid Cap,26.35,8.78,,,,,,,,,,
747,CVGI,"Commercial Vehicle Group, Inc.",190228828.67,Capital Goods,Auto Parts:O.E.M.,Micro Cap,5.28,41.86,11.4,-46.68,93.31,100.36,-58.56,-8.39,-11.45,-9.18,-44.37,171.29
748,COMM,"CommScope Holding Company, Inc.",2870860800.26,Technology,Radio And Television Broadcasting And Communications Equipment,Mid Cap,13.56,52.7,,,,,,,,,,
749,JCS,"Communications Systems, Inc.",60326649.5,Public Utilities,Telecommunications Equipment,Micro Cap,5.99,62.07,210.17,-40.48,-20.16,-36.65,-20.92,-0.51,13.57,-21.74,4.27,18.54
750,ESXB,Community Bankers Trust Corporation.,211069633.95,Finance,Major Banks,Micro Cap,9.21,31.53,24.92,-11.41,12.41,35.01,21.49,17.55,41.89,130.43,9.52,-67.33
751,CFBI,"Community First Bancshares, Inc.",90769754.48,Finance,Savings Institutions,Micro Cap,11.96,15.23,,,,,,,,,,
752,CTBI,"Community Trust Bancorp, Inc.",815339179.2,Finance,Major Banks,Small Cap,44.97,20.97,21.94,-13.37,-2.27,46.71,-1.02,-7.86,42.51,15.8,6.4,23.87
753,CWBC,Community West Bancshares,93136593.0,Finance,Major Banks,Micro Cap,11.12,18.31,13.04,-4.25,17.02,34.96,8.44,0.61,95.82,124.83,-58.61,30.91
754,CVLT,"Commvault Systems, Inc.",2082610746.16,Technology,Computer Software: Prepackaged Software,Mid Cap,44.67,29.35,-24.45,12.55,2.14,30.62,-23.87,-30.95,7.46,63.06,49.27,20.76
755,CGEN,Compugen Ltd.,381852871.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,6.9,58.51,174.65,-13.2,-50.98,-20.19,-23.29,-6.93,81.91,-0.61,0.61,1.44
756,CPSI,"Computer Programs and Systems, Inc.",401384141.76,Technology,EDP Services,Small Cap,26.08,35.47,6.78,-15.3,31.11,-50.28,-13.57,1.86,27.58,3.93,11.94,5.24
757,CTG,"Computer Task Group, Incorporated",86584719.88,Technology,EDP Services,Micro Cap,5.95,39.25,26.96,-20.0,21.14,-34.0,-28.14,-48.38,4.33,29.47,29.41,35.83
758,SCOR,"comScore, Inc.",362768567.56,Miscellaneous,Business Services,Small Cap,4.61,95.5,-65.77,-49.37,-9.75,-23.26,-11.37,62.29,107.62,-35.0,-5.1,27.29
759,CHCI,"Comstock Holding Companies, Inc.",17767134.75,Capital Goods,Homebuilding,Micro Cap,2.27,64.94,16.67,-1.18,-5.56,23.29,-79.75,-48.5,72.41,5.45,-4.35,40.24
760,CMTL,Comtech Telecommunications Corp.,884373205.24,Technology,Radio And Television Broadcasting And Communications Equipment,Small Cap,36.59,36.47,48.02,11.56,91.66,-36.12,-33.55,3.66,28.17,-6.85,6.81,-20.12
761,CNAT,Conatus Pharmaceuticals Inc.,14309748.0918,Health Care,Major Pharmaceuticals,Micro Cap,0.4,175.32,,,,,,,,,,
762,CNCE,"Concert Pharmaceuticals, Inc.",248424835.1,Health Care,Major Pharmaceuticals,Micro Cap,9.92,80.96,,,,,,,,,,
763,BBCP,"Concrete Pumping Holdings, Inc. ",281977643.4,Basic Industries,Engineering & Construction,Micro Cap,5.04,77.32,,,,,,,,,,
764,CDOR,"Condor Hospitality Trust, Inc.",131956802.19,Consumer Services,Real Estate Investment Trusts,Micro Cap,11.07,36.62,70.57,-24.9,-19.51,64.08,-45.89,-5.33,-70.1,54.55,-58.23,5.33
765,CNDT,Conduent Incorporated,1216590310.5,Miscellaneous,Business Services,Small Cap,4.69,71.63,,,,,,,,,,
766,CFMS,"ConforMIS, Inc.",87264193.01,Health Care,Industrial Specialties,Micro Cap,1.08,110.43,,,,,,,,,,
767,CNFR,"Conifer Holdings, Inc.",38259603.27,Finance,Property-Casualty Insurers,Micro Cap,3.9,53.2,,,,,,,,,,
769,CNMD,CONMED Corporation,3136168041.93,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Mid Cap,107.27,22.32,75.71,27.39,17.33,2.19,-0.42,7.76,54.98,11.26,-2.88,15.92
770,CNOB,"ConnectOne Bancorp, Inc.",1018540813.5,Finance,Major Banks,Small Cap,24.42,22.54,41.53,-27.44,0.47,41.3,-0.1,2.92,65.24,20.39,21.37,-7.26
771,CONN,"Conn&#39;s, Inc.",297735991.875,Consumer Services,Consumer Electronics/Video Chains,Micro Cap,8.85,62.49,-34.31,-46.95,181.03,-46.1,25.58,-76.25,156.65,176.22,137.18,-19.86
772,CNSL,"Consolidated Communications Holdings, Inc.",306316204.25,Public Utilities,Telecommunications Equipment,Small Cap,5.27,73.01,-57.93,-7.96,-50.34,36.76,-19.05,52.3,34.72,-8.92,7.22,20.11
773,CWCO,Consolidated Water Co. Ltd.,251336175.15,Public Utilities,Water Supply,Micro Cap,18.09,25.63,43.03,-4.4,18.31,-8.45,17.59,-22.27,95.32,-10.41,-3.38,-34.07
774,CNST,"Constellation Pharmaceuticals, Inc.",1058730536.0,Health Care,Major Pharmaceuticals,Small Cap,37.23,110.61,,,,,,,,,,
775,ROAD,"Construction Partners, Inc.",902037997.9,Basic Industries,Military/Government/Technical,Small Cap,17.04,46.83,91.05,40.38,0.0,0.0,-7.06,0.0,-15.99,15.88,188.7,-8.79
776,CPSS,"Consumer Portfolio Services, Inc.",78182285.46,Finance,Finance: Consumer Services,Micro Cap,3.48,37.0,11.96,-27.47,-18.95,-1.35,-29.48,-21.62,75.19,502.25,-25.21,1.71
777,CFRX,ContraFect Corporation,159453493.68,Health Care,Major Pharmaceuticals,Micro Cap,1.0,109.72,,,,,,,,,,
778,CPAA,Conyers Park II Acquisition Corp.,596250000.0,Finance,Business Services,Small Cap,10.8,,,,,,,,,,,
781,CPRT,"Copart, Inc.",22575952486.72,Consumer Durables,Automotive Aftermarket,Large Cap,99.5,20.02,90.33,10.63,55.89,45.78,4.17,-0.44,24.24,23.2,28.22,1.99
782,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",453356979.93,Health Care,Major Pharmaceuticals,Small Cap,6.61,54.06,,,,,,,,,,
783,CORT,Corcept Therapeutics Incorporated,1474221133.2,Health Care,Major Pharmaceuticals,Small Cap,13.24,46.17,-9.43,-26.02,148.76,45.78,66.0,-6.54,124.48,-58.19,-11.4,38.85
784,CORE,"Core-Mark Holding Company, Inc.",1170623269.06,Consumer Non-Durables,Food Distributors,Small Cap,24.94,39.88,18.56,-25.14,-25.79,6.0,33.44,64.77,61.82,22.0,11.81,7.98
785,CSOD,"Cornerstone OnDemand, Inc.",3876201752.64,Technology,Computer Software: Prepackaged Software,Mid Cap,59.42,27.45,,,,,,,,,,
786,CORV,Correvio Pharma Corp.,19006141.275,Health Care,Major Pharmaceuticals,Micro Cap,0.33,143.28,-83.53,60.65,-43.84,-65.97,-12.32,48.48,219.49,-85.17,-59.03,44.27
787,CRTX,"Cortexyme, Inc.",1574629603.12,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,54.6,,,,,,,,,,,
788,CLDB,Cortland Bancorp,88449766.7277,Finance,Savings Institutions,Micro Cap,19.74,41.75,8.9,2.22,19.66,12.03,2.62,55.88,6.94,43.09,28.3,24.71
789,CRVL,CorVel Corp.,1748850948.45,Finance,Specialty Insurers,Small Cap,92.8,22.84,41.54,16.67,44.54,-16.67,18.0,-20.3,108.34,-13.3,6.95,44.16
790,CRVS,"Corvus Pharmaceuticals, Inc.",175921380.0,Health Care,Major Pharmaceuticals,Micro Cap,5.61,94.19,,,,,,,,,,
791,CSGP,"CoStar Group, Inc.",23799179458.88,Miscellaneous,Business Services,Large Cap,652.48,26.63,77.36,13.6,57.54,-8.81,12.56,-0.51,106.53,33.93,15.93,37.8
792,COST,Costco Wholesale Corporation,134594713794.36,Consumer Services,Department/Specialty Retail Stores,Large Cap,309.45,15.88,45.7,10.6,22.37,0.28,18.94,20.46,21.83,28.4,16.74,23.68
793,CPAH,CounterPath Corporation,16099050.0,Technology,Computer Software: Prepackaged Software,Micro Cap,2.11,167.19,-22.5,-62.62,29.44,-4.25,-49.22,-52.34,-46.5,14.29,-30.83,321.67
794,ICBK,"County Bancorp, Inc.",180778887.96,Finance,Major Banks,Micro Cap,25.55,29.14,,,,,,,,,,
795,COUP,Coupa Software Incorporated,10809401542.04,Technology,Computer Software: Prepackaged Software,Large Cap,161.31,44.14,,,,,,,,,,
796,CVTI,"Covenant Transportation Group, Inc.",258835866.04,Transportation,Trucking Freight/Courier Services,Micro Cap,13.8,40.77,-32.66,-33.17,48.55,2.38,-30.32,230.21,48.46,86.2,-69.32,129.93
797,CVET,"Covetrus, Inc.",1682960346.08,Health Care,Medical/Nursing Services,Small Cap,13.98,,,,,,,,,,,
798,COWN,Cowen Inc.,476415774.78,Finance,Investment Bankers/Brokers/Service,Small Cap,16.1,29.15,18.07,-2.27,-11.94,1.17,448.65,22.76,59.59,-5.41,-44.78,-20.78
801,CPSH,CPS Technologies Corp.,13471584.72,Capital Goods,Building Materials,Micro Cap,1.0,52.46,-17.89,-25.9,-11.23,-36.61,-9.23,28.97,101.6,-32.43,0.0,60.87
802,CRAI,"CRA International,Inc.",434490421.26,Miscellaneous,Other Consumer Services,Small Cap,56.43,40.5,30.42,-4.04,24.75,97.14,-38.49,53.13,0.15,-0.35,-15.61,-11.78
803,CBRL,"Cracker Barrel Old Country Store, Inc.",3822783313.25,Consumer Services,Restaurants,Mid Cap,156.14,19.78,0.92,6.22,0.16,38.73,-5.5,33.35,76.22,30.44,-6.16,46.73
804,BREW,"Craft Brew Alliance, Inc.",319635726.48,Consumer Non-Durables,Beverages (Production/Distribution),Small Cap,16.4,89.89,15.3,-25.47,13.61,101.91,-37.26,-18.76,153.4,7.64,-18.54,207.92
805,CREX,"Creative Realities, Inc.",15346037.22,Technology,EDP Services,Micro Cap,1.61,87.38,-32.89,-76.25,3.23,24.0,-37.5,-33.33,-70.0,-66.67,-17.24,-60.7
807,CACC,Credit Acceptance Corporation,8473200768.12,Finance,Finance: Consumer Services,Mid Cap,453.88,23.77,15.87,18.02,48.72,1.63,56.89,4.94,27.84,23.58,31.08,49.1
808,DGLD,Credit Suisse AG,16643604.6,Finance,Investment Bankers/Brokers/Service,Micro Cap,25.22,35.29,,,,,,,,,,
809,DSLV,Credit Suisse AG,23314335.84,Finance,Investment Bankers/Brokers/Service,Micro Cap,15.47,58.51,,,,,,,,,,
810,GLDI,Credit Suisse AG,36004013.01,Finance,Investment Bankers/Brokers/Service,Micro Cap,9.25,10.47,,,,,,,,,,
811,SLVO,Credit Suisse AG,20216376.37,Finance,Investment Bankers/Brokers/Service,Micro Cap,7.06,17.12,,,,,,,,,,
812,TVIX,Credit Suisse AG,627330818.88,Finance,Investment Bankers/Brokers/Service,Small Cap,53.9,108.44,-92.76,28.0,-94.18,-93.92,-77.32,-63.2,-91.97,-97.08,-50.63,0.0
813,UGLD,Credit Suisse AG,206936899.04,Finance,Investment Bankers/Brokers/Service,Micro Cap,158.22,34.83,,,,,,,,,,
814,USLV,Credit Suisse AG,340719006.6,Finance,Investment Bankers/Brokers/Service,Small Cap,94.22,58.44,,,,,,,,,,
815,USOI,Credit Suisse AG,12455830.56,Finance,Investment Bankers/Brokers/Service,Micro Cap,19.0,29.54,,,,,,,,,,
816,VIIX,Credit Suisse AG,18359660.41,Finance,Investment Bankers/Brokers/Service,Micro Cap,33.4,58.29,-67.7,68.59,-72.67,-68.23,-36.46,-25.91,-66.51,-77.56,-7.1,0.0
817,ZIV,Credit Suisse AG,72438120.0,Finance,Investment Bankers/Brokers/Service,Micro Cap,73.01,25.41,19.0,-31.86,90.48,12.66,-1.1,7.93,62.81,90.77,-9.21,0.0
818,CREE,"Cree, Inc.",5639681043.92,Technology,Semiconductors,Mid Cap,50.74,43.3,7.88,15.19,40.74,-1.05,-17.23,-48.46,83.99,54.17,-66.55,16.89
819,CRSA,Crescent Acquisition Corp,314687500.0,Finance,Business Services,Small Cap,10.081,,,,,,,,,,,
822,CRESY,Cresud S.A.C.I.F. y A.,248079253.5,Finance,Real Estate,Micro Cap,5.81,65.87,-42.06,-45.0,42.91,22.25,27.85,1.0,26.33,-22.37,-37.19,31.71
823,CRNX,"Crinetics Pharmaceuticals, Inc.",576248421.84,Health Care,Major Pharmaceuticals,Small Cap,22.47,47.88,,,,,,,,,,
824,CRSP,CRISPR Therapeutics AG,3277799869.78,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,53.59,61.3,,,,,,,,,,
825,CRTO,Criteo S.A.,897849141.9,Technology,Advertising,Small Cap,15.09,48.78,,,,,,,,,,
826,CROX,"Crocs, Inc.",2852696773.08,Consumer Non-Durables,Shoe Manufacturing,Mid Cap,40.48,41.59,61.24,105.54,84.26,-33.01,-18.01,-21.55,10.63,-2.57,-13.73,197.74
827,CRON,Cronos Group Inc.,2982085894.8,Consumer Durables,Specialty Chemicals,Mid Cap,7.25,68.62,,,,,,,,,,
828,CCRN,"Cross Country Healthcare, Inc.",390158892.76,Technology,Professional Services,Small Cap,10.36,35.96,58.53,-42.55,-18.26,-4.76,31.33,25.05,107.92,-13.51,-34.47,-14.53
829,CFB,"CrossFirst Bankshares, Inc.",679757175.24,Finance,Major Banks,Small Cap,13.2,,208.12,-20.68,-5.45,12.64,8.63,-5.56,0.0,20.0,-18.18,0.0
830,CRWD,"CrowdStrike Holdings, Inc.",13041822064.95,Technology,Computer Software: Prepackaged Software,Large Cap,58.06,,,,,,,,,,,
831,CRWS,"Crown Crafts, Inc.",64654914.12,Basic Industries,Textiles,Micro Cap,6.42,37.81,25.55,-11.67,-12.98,2.12,13.62,4.11,62.93,74.77,-34.08,105.14
832,CYRX,"CryoPort, Inc.",690704861.64,Health Care,Major Pharmaceuticals,Small Cap,19.07,51.97,49.23,28.41,165.12,60.4,-61.74,37.5,-15.79,-44.12,13.33,-85.37
834,CSGS,"CSG Systems International, Inc.",1687192774.29,Technology,EDP Services,Small Cap,50.85,27.42,66.01,-25.96,-7.68,36.94,46.7,-12.72,64.65,23.59,-22.33,-0.79
835,CCLP,CSI Compressco LP,111576113.73,Energy,Oilfield Services/Equipment,Micro Cap,2.17,42.97,,,,,,,,,,
836,CSPI,CSP Inc.,55244768.6,Technology,EDP Services,Micro Cap,13.27,37.01,41.77,-35.97,57.4,59.69,1.39,-2.7,31.77,116.46,-12.97,1.09
837,CSWI,"CSW Industrials, Inc.",1203884080.0,Basic Industries,Home Furnishings,Small Cap,78.83,20.34,,,,,,,,,,
838,CSX,CSX Corporation,59412017796.8,Transportation,Railroads,Large Cap,75.17,22.25,18.06,14.47,55.48,42.09,-26.72,28.52,49.33,-3.91,-0.24,35.81
839,CTIC,CTI BioPharma Corp.,80010640.5,Health Care,Major Pharmaceuticals,Micro Cap,1.2,65.91,116.44,-72.76,-34.63,-66.67,-47.88,23.56,46.92,-77.59,-47.75,-67.54
840,CTIB,CTI Industries Corporation,6367677.0,Basic Industries,Specialty Chemicals,Micro Cap,1.55,189.8,-72.82,-24.08,-30.43,14.48,35.9,-35.62,13.18,17.81,-26.26,167.49
841,CUE,"Cue Biopharma, Inc.",354109802.2,Health Care,Major Pharmaceuticals,Small Cap,15.51,71.0,,,,,,,,,,
842,CUI,"CUI Global, Inc.",37644731.16,Technology,Electronic Components,Micro Cap,1.13,77.76,-10.57,-55.27,-60.32,-1.56,-5.5,17.88,15.12,-3.68,-24.0,194.12
843,CPIX,Cumberland Pharmaceuticals Inc.,77438109.3,Health Care,Major Pharmaceuticals,Micro Cap,4.92,56.43,-14.59,-18.07,33.82,4.56,-12.04,17.03,21.67,-21.93,-10.18,-55.92
844,CMLS,Cumulus Media Inc.,270550457.51,Consumer Services,Broadcasting,Micro Cap,14.15,42.93,,,,,,,,,,
845,CRIS,"Curis, Inc.",56776909.41,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,1.61,84.67,146.38,-80.29,-77.27,5.84,94.0,-46.81,-17.78,-26.71,136.36,-39.08
846,CUTR,"Cutera, Inc.",482657544.17,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Small Cap,28.84,52.58,110.4,-62.47,161.38,35.65,19.76,4.91,13.11,20.81,-10.13,-2.59
847,CVBF,CVB Financial Corporation,3048727188.48,Finance,Major Banks,Mid Cap,20.96,20.79,10.19,-11.98,5.1,38.42,8.7,-3.12,69.04,7.75,19.36,4.2
848,CVV,CVD Equipment Corporation,24078171.6314,Technology,Industrial Machinery/Components,Micro Cap,4.39,46.08,-9.3,-69.45,33.87,-13.89,-29.95,-1.03,51.46,-20.2,67.08,73.49
849,CYAN,Cyanotech Corporation,14978403.8432,Consumer Durables,Specialty Chemicals,Micro Cap,2.4,49.77,-24.17,-22.76,-9.07,-18.1,-24.24,40.57,6.48,-33.38,105.62,-36.11
850,CYBR,CyberArk Software Ltd.,5303016320.0,Technology,Computer Software: Prepackaged Software,Mid Cap,137.67,41.73,,,,,,,,,,
851,CYBE,CyberOptics Corporation,171076776.0,Capital Goods,Electronic Components,Micro Cap,23.17,49.64,4.25,17.53,-42.53,241.18,-20.4,50.39,-13.88,-4.87,-8.67,27.27
852,CYCC,"Cyclacel Pharmaceuticals, Inc.",13759979.2,Health Care,Major Pharmaceuticals,Micro Cap,0.77,91.78,9.84,-64.94,-67.11,-11.83,-28.57,-82.59,-33.66,46.73,-59.86,41.35
853,CYCCP,"Cyclacel Pharmaceuticals, Inc.",1984816.16,Health Care,Major Pharmaceuticals,Micro Cap,6.28,68.32,-10.29,-7.28,30.14,79.12,-31.27,-25.1,97.94,75.44,-20.71,65.53
854,CYCN,"Cyclerion Therapeutics, Inc.",88999248.96,Health Care,Major Pharmaceuticals,Micro Cap,3.52,,,,,,,,,,,
855,CBAY,CymaBay Therapeutics Inc.,138776106.86,Health Care,Major Pharmaceuticals,Micro Cap,1.9,166.99,,,,,,,,,,
856,CY,Cypress Semiconductor Corporation,8705148271.11,Technology,Semiconductors,Mid Cap,23.37,30.52,87.45,-14.0,37.35,21.85,-28.57,42.45,0.94,-33.19,-8.1,75.95
857,CYRN,CYREN Ltd.,75928820.48,Technology,Computer Software: Prepackaged Software,Micro Cap,1.23,57.76,-57.33,20.0,16.28,26.47,-1.16,-44.69,0.32,-4.62,-12.63,2.48
858,CONE,CyrusOne Inc,7186843626.34,Consumer Services,Real Estate Investment Trusts,Mid Cap,62.2,27.89,,,,,,,,,,
859,CYTK,"Cytokinetics, Incorporated",718214989.18,Health Care,Major Pharmaceuticals,Small Cap,12.03,62.1,67.88,-22.45,-32.92,16.16,30.59,23.23,64.14,-31.25,-54.07,-28.18
860,CTMX,"CytomX Therapeutics, Inc.",338938863.44,Health Care,Major Pharmaceuticals,Small Cap,7.23,70.21,,,,,,,,,,
861,CTSO,Cytosorbents Corporation,148500834.54,Health Care,Medical/Dental Instruments,Micro Cap,4.49,55.3,-52.35,24.31,19.27,-2.15,-44.02,218.4,-3.85,-18.75,14.29,-26.32
862,DJCO,Daily Journal Corp. (S.C.),396826400.4,Consumer Services,Newspapers/Magazines,Small Cap,279.01,26.55,24.11,1.64,-4.79,19.7,-23.2,37.09,107.29,42.06,-9.51,16.13
863,DAKT,"Daktronics, Inc.",279463328.31,Consumer Durables,Miscellaneous manufacturing industries,Micro Cap,5.97,31.77,-15.05,-16.17,-12.12,28.11,-27.34,-17.76,45.25,25.53,-35.95,84.28
864,DARE,"Dare Bioscience, Inc.",32674462.26,Health Care,Major Pharmaceuticals,Micro Cap,1.24,128.33,,,,,,,,,,
865,DRIO,DarioHealth Corp.,18488817.23,Health Care,Medical/Dental Instruments,Micro Cap,7.61,320.93,,,,,,,,,,
867,DZSI,"DASAN Zhone Solutions, Inc.",226717517.0,Public Utilities,Telecommunications Equipment,Micro Cap,9.5,57.19,-36.3,50.22,88.98,-2.0,-43.5,-66.85,1036.17,-47.19,-66.67,30.24
868,DSKE,"Daseke, Inc.",224769981.0,Consumer Services,Transportation Services,Micro Cap,3.14,80.33,,,,,,,,,,
870,DAIO,Data I/O Corporation,34157277.44,Capital Goods,Electrical Products,Micro Cap,4.05,46.76,-15.0,-58.47,188.04,65.87,-25.44,31.52,55.76,-55.88,-34.84,28.7
871,DDOG,"Datadog, Inc.",12185254258.38,Technology,Computer Software: Prepackaged Software,Large Cap,41.255,,,,,,,,,,,
872,DTSS,Datasea Inc.,41887692.0,Technology,Computer Software: Prepackaged Software,Micro Cap,1.94,175.84,,,,,,,,,,
873,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",1448146991.01,Consumer Services,Restaurants,Small Cap,46.04,42.39,,,,,,,,,,
874,DTEA,DAVIDsTEA Inc.,42723702.2884,Consumer Non-Durables,Food Chains,Micro Cap,1.47,66.08,,,,,,,,,,
875,DFNL,Davis Select Financial ETF,161226500.0,,,Micro Cap,24.606,14.6,,,,,,,,,,
876,DINT,Davis Select International ETF,160436500.0,,,Micro Cap,18.61,16.94,,,,,,,,,,
877,DUSA,Davis Select U.S. Equity ETF,223944000.0,,,Micro Cap,25.721,14.55,,,,,,,,,,
878,DWLD,Davis Select Worldwide ETF,258517190.0,,,Micro Cap,24.85,17.11,,,,,,,,,,
879,DWSN,Dawson Geophysical Company,56980887.25,Energy,Oil & Gas Production,Micro Cap,2.61,58.34,-28.99,-28.59,-38.18,132.37,-46.6,-69.62,-6.41,22.98,87.89,2.05
880,DBVT,DBV Technologies S.A.,374529178.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,10.92,53.83,,,,,,,,,,
881,DDMX,DD3 Acquisition Corp.,73748872.0,Finance,Business Services,Micro Cap,10.24,5.28,,,,,,,,,,
882,DDMXU,DD3 Acquisition Corp.,78010560.0,Finance,Business Services,Micro Cap,10.8,5.48,,,,,,,,,,
884,DCPH,"Deciphera Pharmaceuticals, Inc.",3542447492.8,Health Care,Major Pharmaceuticals,Mid Cap,65.42,78.57,,,,,,,,,,
885,TACO,"Del Taco Restaurants, Inc.",298697168.12,Consumer Services,Restaurants,Micro Cap,7.77,34.72,,,,,,,,,,
887,DMPI,"DelMar Pharmaceuticals, Inc.",7181811.0,Health Care,Major Pharmaceuticals,Micro Cap,0.53,166.05,,,,,,,,,,
888,DNLI,Denali Therapeutics Inc.,2147258146.28,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,27.98,60.42,,,,,,,,,,
889,DENN,Denny&#39;s Corporation,1260903864.15,Consumer Services,Restaurants,Small Cap,20.66,20.17,22.64,22.43,3.2,30.52,-4.66,43.39,47.34,29.79,5.03,63.47
